Food Name                  ID          weight      18:2_n_6_c  18:3_n_3_c  Calcium_Ca  Carbohydra  Cholestero  Energy_kca  saturated_  trans_Fatt  Fiber_tota  Histidine_  Iron_Fe_mg  Isoleucine  Leucine_g   Lysine_g    Magnesium_  Methionine  Phenylalan  Sodium_Na_  Threonine_  Tryptophan  Valine_g    Vitamin_A_  Vitamin_B_  Vitamin_B_  Vitamin_C_  Vitamin_D_  Vitamin_E_  Vitamin_K_  Zinc_Zn_mg  
Salt, table                2047        0.79033199  0.000000    0.000000    0.189680    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.002608    0.000000    0.000000    0.000000    0.007903    0.000000    0.000000    306.316875  0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000790    
Litchis, dried             9165        10.7042965  0.000000    0.000000    3.532418    7.567938    0.000000    29.650901   0.028902    0.000000    0.492398    0.000000    0.181973    0.000000    0.000000    0.020017    4.495805    0.004496    0.000000    0.321129    0.000000    0.003532    0.000000    0.000000    0.000000    0.009634    19.588863   0.000000    0.033183    0.171269    0.029972    
Nuts, walnuts, black, dri  12154       5.20145416  1.756011    0.139243    3.172887    0.498299    0.000000    32.197001   0.181167    0.000000    0.353699    0.034954    0.162285    0.050246    0.087592    0.037086    10.454923   0.024291    0.056904    0.104029    0.037502    0.016541    0.066110    2.080582    0.000000    0.030324    0.088425    0.000000    0.108190    0.140439    0.175289    
Pigeon peas (red gram), m  16101       32.4701987  0.000000    0.000000    42.211258   20.384791   0.000000    111.372782  0.107152    0.000000    4.870530    0.251319    1.698191    0.254891    0.502963    0.493872    59.420464   0.078903    0.603296    5.519934    0.249046    0.068837    0.304246    9.091656    0.000000    0.091891    0.000000    0.000000    0.000000    0.000000    0.896177    
Fish, anchovy, european,   15002       27.4875612  0.000000    0.000000    63.771142   0.000000    23.364427   57.723879   0.605551    0.000000    0.000000    0.233644    1.272674    0.365859    0.645408    0.729245    18.966417   0.235019    0.310060    1008.24374  0.347993    0.089060    0.409015    10.995025   0.241891    0.055800    0.000000    18.966417   0.915336    3.325995    0.670696    
Seeds, watermelon seed ke  12174       3.77194683  0.000000    0.000000    2.036851    0.577485    0.000000    21.009744   0.368859    0.000000    0.000000    0.029233    0.274598    0.050620    0.081059    0.033457    19.425526   0.031458    0.076608    3.734227    0.041944    0.014711    0.058691    0.000000    0.000000    0.003357    0.000000    0.000000    0.000000    0.000000    0.386247    
Raisins, golden, seedless  9297        8.89250991  0.003379    0.001690    5.691206    7.115786    0.000000    26.766455   0.005780    0.000000    0.293453    0.000000    0.087147    0.000000    0.000000    0.000000    3.112378    0.000000    0.000000    2.134202    0.000000    0.000000    0.000000    0.000000    0.000000    0.028723    0.284560    0.000000    0.010671    0.311238    0.032902    
Amaranth leaves, raw       11003       9.13478018  0.000000    0.000000    19.639777   0.367218    0.000000    2.100999    0.008313    0.000000    0.000000    0.004750    0.211927    0.010870    0.017813    0.011601    5.024129    0.003289    0.012149    1.826956    0.009043    0.002832    0.012515    266.461538  0.000000    0.017539    3.955360    0.000000    0.000000    104.136494  0.082213    
-------------------------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  
Total                                              16.0075043  1.65589216  980.527010  315.202988  199.728277  2490.53763  22.7713480  0.88559454  29.7348934  1.24059534  15.4738689  1.89291127  3.66751720  3.09347971  407.589675  1.03686392  2.29252973  2300.01556  1.67432634  0.44986591  2.24199125  10094.8074  2.61764733  1.67989617  90.1762926  792.658711  14.9557799  119.866968  14.4981437  
-------------------------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  
Required                                           17.0        1.6         1000.0      312.5       200.0       2500.0      22.2222222  0.0         30.0        1.19        15.1        1.615       3.57        3.23        400.0       1.615       2.805       2300.0      1.7         0.425       2.04        10000.0     2.6         1.7         90.0        800.0       15.0        120.0       15.0        
-------------------------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  
Difference                                         0.99249568  -0.0558921  19.4729896  -2.7029888  0.27172258  9.46236718  -0.5491258  -0.8855945  0.26510650  -0.0505953  -0.3738689  -0.2779112  -0.0975172  0.13652028  -7.5896756  0.57813607  0.51247026  -0.0155659  0.02567365  -0.0248659  -0.2019912  -94.807468  -0.0176473  0.02010382  -0.1762926  7.34128827  0.04422006  0.13303152  0.50185620  
-------------------------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  
