Food Name                  ID          weight      18:2_n_6_c  18:3_n_3_c  Calcium_Ca  Carbohydra  Cholestero  Energy_kca  saturated_  trans_Fatt  Fiber_tota  Histidine_  Iron_Fe_mg  Isoleucine  Leucine_g   Lysine_g    Magnesium_  Methionine  Phenylalan  Sodium_Na_  Threonine_  Tryptophan  Valine_g    Vitamin_A_  Vitamin_B_  Vitamin_B_  Vitamin_C_  Vitamin_D_  Vitamin_E_  Vitamin_K_  Zinc_Zn_mg  
Nuts, walnuts, black, dri  12154       7.84530336  94.574449   79.679884   2.905027    1.763216    0.000000    12.816904   8.113317    0.000000    10.794635   29.306701   9.840065    31.041966   24.480399   11.455964   23.930753   15.006831   20.240866   0.041412    22.010554   38.831379   32.334043   0.190494    0.000000    16.332021   0.899553    0.000000    6.603777    1.071526    10.699388   
Pigeon peas (red gram), m  16101       20.8527701  0.000000    0.000000    16.455750   30.712507   0.000000    18.877331   2.043210    0.000000    63.291344   89.720697   43.842878   67.049535   59.852437   64.956906   57.911580   20.755461   91.371653   0.935611    62.236489   68.809051   63.358963   0.354432    0.000000    21.072295   0.000000    0.000000    0.000000    0.000000    23.291215   
Fish, anchovy, european,   15002       24.7715898  0.000000    0.000000    34.886100   0.000000    63.907727   13.729537   16.203306   0.000000    0.000000    117.047119  46.107172   135.049908  107.775151  134.593316  25.939019   86.752571   65.896902   239.809251  122.031949  124.923702  119.525764  0.601484    50.894841   17.956081   0.000000    12.969509   33.382389   15.162422   24.460369   
Seeds, watermelon seed ke  12174       8.64420564  0.000000    0.000000    2.833540    3.104778    0.000000    12.707585   25.098905   0.000000    0.000000    37.240432   25.298227   47.516010   34.421372   15.702944   67.558950   29.529323   41.403498   2.258619    37.403810   52.472971   43.615354   0.000000    0.000000    2.747114    0.000000    0.000000    0.000000    0.000000    35.821548   
Plums, dried (prunes), st  9292        13.9288453  0.000000    0.000000    1.606495    9.175768    0.000000    3.933522    0.041357    0.000000    8.737076    0.000000    2.295792    0.000000    0.000000    0.000000    3.804856    0.000000    0.000000    0.036762    0.000000    0.000000    0.000000    2.891690    0.000000    10.842595   2.724465    0.000000    1.070996    18.390136   1.070996    
Litchis, raw               9164        14.6193366  0.000000    0.000000    0.443719    5.669317    0.000000    2.546562    0.429732    0.000000    3.845566    0.000000    1.821893    0.000000    0.000000    1.227563    2.218596    0.538930    0.000000    0.038584    0.000000    1.592838    0.000000    0.000000    0.000000    5.220226    70.502052   0.000000    0.414138    0.295813    0.414138    
Amaranth leaves, raw       11003       5.48731379  0.000000    0.000000    7.161579    0.517507    0.000000    0.333097    0.148264    0.000000    0.000000    1.586175    5.117777    2.674663    1.982719    1.427236    4.580080    0.809142    1.721129    0.289649    2.113883    2.647692    2.437727    9.716431    0.000000    3.762034    16.025653   0.000000    0.000000    316.441884  1.998580    
Rhubarb, raw               9307        136.206350  0.000000    0.000000    71.106020   14.507194   0.000000    7.549173    2.143426    0.000000    49.608851   0.000000    12.046299   0.000000    0.000000    0.000000    24.804425   0.000000    0.000000    1.437938    0.000000    0.000000    0.000000    8.433505    0.000000    11.672671   73.494594   0.000000    14.882655   201.880463  5.512095    
-------------------------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  
Total                                              568.173004  628.196735  596.365867  618.516048  614.023989  604.276047  632.167282  0.76677891  617.015543  627.479203  615.412831  721.201606  618.311213  570.504548  619.834272  399.240680  489.696659  607.048179  600.098130  638.928502  683.323126  612.659087  601.371692  589.052654  608.055058  598.795918  603.588948  606.543365  568.548927  
-------------------------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  
Required                                           607.030567  607.030567  607.030567  607.030567  607.030567  607.030567  607.030567  0.0         607.030567  607.030567  607.030567  607.030567  607.030567  607.030567  607.030567  607.030567  607.030567  607.030567  607.030567  607.030567  607.030567  607.030567  607.030567  607.030567  607.030567  607.030567  607.030567  607.030567  607.030567  
-------------------------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  
Difference                                         38.8575621  -21.166168  10.6647000  -11.485481  -6.9934225  2.75451964  -25.136715  -0.7667789  -9.9849763  -20.448636  -8.3822648  -114.17103  -11.280646  36.5260180  -12.803705  207.789886  117.333907  -0.0176121  6.93243632  -31.897935  -76.292559  -5.6285206  5.65887504  17.9779121  -1.0244915  8.23464820  3.44161848  0.48720171  38.4816392  
-------------------------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  
