Food Name                  ID          weight      18:2_n_6_c  18:3_n_3_c  Calcium_Ca  Carbohydra  Cholestero  Energy_kca  saturated_  trans_Fatt  Fiber_tota  Histidine_  Iron_Fe_mg  Isoleucine  Leucine_g   Lysine_g    Magnesium_  Methionine  Phenylalan  Sodium_Na_  Threonine_  Tryptophan  Valine_g    Vitamin_A_  Vitamin_B_  Vitamin_B_  Vitamin_C_  Vitamin_D_  Vitamin_E_  Vitamin_K_  Zinc_Zn_mg  
Chicken, broilers or frye  5105        0.0         0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    
Fish, anchovy, european,   15001       9.74262606  0.000000    0.000000    14.321660   0.000000    5.845576    12.762840   0.124900    0.000000    0.000000    0.058358    0.316635    0.091386    0.161143    0.182090    3.994477    0.058651    0.077356    10.132331   0.086904    0.022213    0.102103    4.871313    0.060404    0.013932    0.000000    0.000000    0.055533    0.009743    0.167573    
Seeds, pumpkin and squash  12014       0.0         0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    
Chicken, broilers or frye  5105        0.0         0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    
Pork, fresh, variety meat  10122       30.2685954  0.000000    0.000000    5.751033    0.000000    44.192149   82.027894   1.952022    0.000000    0.000000    0.183125    1.510403    0.332652    0.584789    0.596291    6.053719    0.163450    0.302383    32.992769   0.308134    0.084147    0.379266    0.000000    0.723419    0.069618    0.514566    0.000000    0.000000    0.000000    1.371167    
Cheese, gruyere            1023        10.3934781  0.000000    0.000000    105.078065  0.037417    11.432826   42.925065   1.965719    0.000000    0.000000    0.116095    0.017669    0.167543    0.322406    0.281663    3.741652    0.085434    0.181158    74.209434   0.113185    0.043757    0.233126    98.530173   0.166296    0.008419    0.000000    2.494435    0.029102    0.280624    0.405346    
Nuts, walnuts, black, dri  12154       45.5448601  15.375945   1.219236    27.782365   4.363198    0.000000    281.922684  1.586327    0.000000    3.097050    0.306061    1.421000    0.439963    0.766975    0.324735    91.545169   0.212694    0.498261    0.910897    0.328378    0.144833    0.578875    18.217944   0.000000    0.265527    0.774263    0.000000    0.947333    1.229711    1.534862    
Nuts, pistachio nuts, raw  12151       22.2594732  3.136582    0.000000    23.372447   6.047899    0.000000    124.653050  1.314867    0.000000    2.359504    0.113969    0.872571    0.204119    0.357042    0.253313    26.933963   0.080134    0.243073    0.222595    0.152255    0.055871    0.278021    114.858882  0.000000    0.378411    1.246530    0.000000    0.636621    0.000000    0.489708    
Nuts, almonds              12061       5.00887042  0.617093    0.000150    13.473861   1.079412    0.000000    29.001360   0.190437    0.000751    0.626109    0.026998    0.185829    0.037617    0.073781    0.028450    13.523950   0.007864    0.056700    0.050089    0.030103    0.010569    0.042826    0.100177    0.000000    0.006862    0.000000    0.000000    1.283773    0.000000    0.156277    
Soy flour, full-fat, raw   16115       5.78159536  0.000000    0.000000    11.910086   1.845485    0.000000    25.092124   0.172696    0.000000    0.555033    0.053827    0.368288    0.096842    0.162578    0.132861    24.803044   0.026942    0.104184    0.751607    0.086724    0.029024    0.099675    6.937914    0.000000    0.026653    0.000000    0.000000    0.112741    4.047117    0.226639    
-------------------------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  
Total                                              28.7199082  2.48465828  624.076282  241.592409  177.706899  2248.63191  15.4038965  0.10936547  32.3134747  1.11834420  16.0459732  1.86241614  3.30949643  2.65269816  403.241730  0.90305057  1.92973641  2300.97665  1.50530921  0.45900372  2.36925977  9405.41698  2.01573490  1.71404429  29.4296496  877.076563  14.9572545  124.032202  13.2972278  
-------------------------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  
Required                                           17.0        1.6         999.999999  258.75      200.0       2300.0      20.4444444  0.0         30.0000000  1.092       15.0999999  1.482       3.276       2.964       400.0       1.482       2.574       2300.0      1.56        0.39        1.872       10000.0     2.6         1.70000000  90.0        800.0       15.0000000  120.000000  15.0000000  
-------------------------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  
Difference                                         -11.719908  -0.8846582  375.923717  17.1575901  22.2931004  51.3680804  5.04054790  -0.1093654  -2.3134747  -0.0263442  -0.9459732  -0.3804161  -0.0334964  0.31130183  -3.2417307  0.57894942  0.64426358  -0.9766558  0.05469078  -0.0690037  -0.4972597  594.583010  0.58426509  -0.0140442  60.5703503  -77.076563  0.04274547  -4.0322021  1.70277210  
-------------------------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  
