Food Name                  ID          weight      18:2_n_6_c  18:3_n_3_c  Calcium_Ca  Carbohydra  Cholestero  Energy_kca  saturated_  trans_Fatt  Fiber_tota  Histidine_  Iron_Fe_mg  Isoleucine  Leucine_g   Lysine_g    Magnesium_  Methionine  Phenylalan  Sodium_Na_  Threonine_  Tryptophan  Valine_g    Vitamin_A_  Vitamin_B_  Vitamin_B_  Vitamin_C_  Vitamin_D_  Vitamin_E_  Vitamin_K_  Zinc_Zn_mg  
Chicken, broilers or frye  5105        0.0         0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    
Fish, anchovy, european,   15001       9.74262606  0.000000    0.000000    8.693686    0.000000    17.742215   3.368450    3.708509    0.000000    0.000000    32.440742   12.728963   37.431845   29.859203   37.292174   6.061924    24.023423   18.243096   2.674189    33.816359   34.574574   33.108693   0.295704    14.102787   4.974778    0.000000    0.000000    2.247347    0.049284    6.781469    
Seeds, pumpkin and squash  12014       0.0         0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    
Chicken, broilers or frye  5105        0.0         0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    
Pork, fresh, variety meat  10122       30.2685954  0.000000    0.000000    3.491053    0.000000    134.129928  21.649321   57.958868   0.000000    0.000000    101.797138  60.719254   136.254959  108.359267  122.121142  9.186981    66.949662   71.311533   8.707661    119.901885  130.973375  122.983842  0.000000    168.899118  24.858891   3.470637    0.000000    0.000000    0.000000    55.489367   
Cheese, gruyere            1023        10.3934781  0.000000    0.000000    63.785597   0.087780    34.700374   11.329055   58.365550   0.000000    0.000000    64.535994   0.710303    68.625940   59.740571   57.684955   5.678243    34.994121   42.722860   19.585824   44.042783   68.106562   75.595318   5.981083    38.825594   3.006129    0.000000    1.892748    1.177710    1.419561    16.403813   
Nuts, walnuts, black, dri  12154       45.5448601  549.039323  462.570915  16.864745   10.236113   0.000000    74.406820   47.100779   0.000000    62.666811   170.136137  57.125180   180.209987  142.117686  66.506067   138.926790  87.120149   117.505640  0.240410    127.779328  225.430382  187.710964  1.105885    0.000000    94.813366   5.222234    0.000000    38.337343   6.220603    62.113868   
Nuts, pistachio nuts, raw  12151       22.2594732  112.000081  0.000000    14.187790   14.188442   0.000000    32.899222   39.040655   0.000000    47.743038   63.353814   35.077979   83.607757   66.158540   51.878750   40.874346   32.823111   57.324403   0.058749    59.245715   86.963009   90.153385   6.972285    0.000000    135.121806  8.407579    0.000000    25.763224   0.000000    19.817865   
Nuts, almonds              12061       5.00887042  22.034954   0.057010    8.179046    2.532312    0.000000    7.654223    5.654408    0.000751    12.668906   15.007781   7.470460    15.407852   13.671281   5.826671    20.523628   3.221082    13.371750   0.013220    11.713865   16.450087   13.887070   0.006081    0.000000    2.450315    0.000000    0.000000    51.952650   0.000000    6.324318    
Soy flour, full-fat, raw   16115       5.78159536  0.000000    0.000000    7.229787    4.329530    0.000000    6.622472    5.127648    0.000000    11.230736   29.921633   14.805420   39.666589   30.125182   27.210096   37.640515   11.035600   24.569963   0.198369    33.746203   45.174917   32.321363   0.421153    0.000000    9.517223    0.000000    0.000000    4.562487    20.472696   9.171768    
-------------------------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  
Total                                              1025.52130  942.664704  378.833379  566.778657  539.367599  593.473177  457.368067  0.10936547  653.842229  621.675014  645.059354  762.849883  613.237331  543.275597  611.950141  369.891569  455.092847  607.288332  585.749170  714.434084  768.276230  570.937560  470.620269  612.045458  198.496632  665.515354  605.300712  627.427816  538.121585  
-------------------------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  
Required                                           607.030567  607.030567  607.030567  607.030567  607.030567  607.030567  607.030567  0.0         607.030567  607.030567  607.030567  607.030567  607.030567  607.030567  607.030567  607.030567  607.030567  607.030567  607.030567  607.030567  607.030567  607.030567  607.030567  607.030567  607.030567  607.030567  607.030567  607.030567  607.030567  
-------------------------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  
Difference                                         -418.49073  -335.63413  228.197187  40.2519097  67.6629670  13.5573891  149.662499  -0.1093654  -46.811662  -14.644447  -38.028787  -155.81931  -6.2067641  63.7549693  -4.9195741  237.138997  151.937719  -0.2577651  21.2813970  -107.40351  -161.24566  36.0930061  136.410297  -5.0148915  408.533934  -58.484787  1.72985413  -20.397249  68.9089812  
-------------------------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  
